[2022-11-20 01:20:48:608][main] INFO  c.s.a.ApiGatwayApplicationTests - Starting ApiGatwayApplicationTests using Java 11.0.16.1 on bang-geunhoui-MacBookAir.local with PID 45139 (started by bang-geunho in /Users/bang-geunho/IdeaProjects/msa/formduo-msa/gateway-service)
[2022-11-20 01:20:48:611][main] INFO  c.s.a.ApiGatwayApplicationTests - The following 1 profile is active: "dev"
[2022-11-20 01:20:48:615][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
[2022-11-20 01:20:48:631][main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://service-config:8760
[2022-11-20 01:20:48:631][main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Connect Timeout Exception on Url - http://service-config:8760. Will be trying the next url if available
[2022-11-20 01:20:48:1445][main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
[2022-11-20 01:20:48:1454][main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
[2022-11-20 01:20:49:1514][main] INFO  o.s.c.context.scope.GenericScope - BeanFactory id=a80a8f45-8073-3895-9f65-d1f220c6c001
[2022-11-20 01:20:49:1695][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.integration.config.IntegrationManagementConfiguration' of type [org.springframework.integration.config.IntegrationManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-11-20 01:20:49:1708][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'integrationChannelResolver' of type [org.springframework.integration.support.channel.BeanFactoryChannelResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-11-20 01:20:49:1717][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
